Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,39653486469
AA,Alcoa,Metals & Mining,8814525701
AAC,Ares Acquisition,Blank Check / SPAC,1235124940
AACG,ATA Creativity Global,Diversified Consumer Services,60353326
AACI,Armada Acquisition I,Blank Check / SPAC,205645335
AADI,Aadi Bioscience,Biotechnology,295491605
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,94475062
AAL,American Airlines Group,Airlines,9754188324
AAMC,Altisource Asset Management,Real Estate Management & Development,41790393
AAME,Atlantic American,Insurance,58354290
AAN,The Aaron's Company,Specialty Retail,452731155
AAOI,Applied Optoelectronics,Communications Equipment,53674386
AAON,"AAON, Inc.",Building Products,3298375017
AAP,Advance Auto Parts,Specialty Retail,11772004374
AAPL,Apple,"Technology Hardware, Storage & Periph...",2.6475E+12
AAQC,Accelerate Acquisition,Blank Check / SPAC,491000000
AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2266768827
AATC,Autoscope Technologies,Scientific & Technical Instruments,27550513
AAU,Almaden Minerals,Metals & Mining,33582338
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2825382867
AB,AllianceBernstein Holding,Capital Markets,4259312996
ABB,ABB Ltd,Electrical Equipment,57090144681
ABBV,AbbVie,Biotechnology,2.44723E+11
ABC,AmerisourceBergen,Health Care Providers & Services,29217161105
ABCB,Ameris Bancorp,Banks,3275202810
ABCL,AbCellera Biologics,Biotechnology,3196761847
ABCM,Abcam,Biotechnology,3430105330
ABEO,Abeona Therapeutics,Biotechnology,23612430
ABEV,Ambev,Beverages,44986452769
ABG,Asbury Automotive Group,Specialty Retail,4055708215
ABGI,ABG Acquisition I,Blank Check / SPAC,190426110
ABIO,ARCA biopharma,Biotechnology,34079886
ABM,ABM Industries,Commercial Services & Supplies,2983424292
ABMD,Abiomed,Health Care Equipment & Supplies,13311326858
ABNB,Airbnb,"Hotels, Restaurants & Leisure",74463269032
ABOS,Acumen Pharmaceuticals,Biotechnology,207771679
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2739307509
ABSI,Absci,Biotechnology,363515587
ABST,Absolute Software,Software-Application,518450855
ABT,Abbott Laboratories,Health Care Equipment & Supplies,1.90498E+11
ABTX,Allegiance Bancshares,Banks,883438452
ABUS,Arbutus Biopharma,Biotechnology,373377987
ABVC,ABVC BioPharma,Biotechnology,20350368
AC,Associated Capital Group,Capital Markets,922420120
ACA,Arcosa,Construction & Engineering,2991382578
ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,300300000
ACAC,Acri Capital Acquisition,Blank Check / SPAC,93750000
ACAD,ACADIA Pharmaceuticals,Biotechnology,2702321376
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,423487480
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,322705500
ACAX,Alset Capital Acquisition,Blank Check / SPAC,105135190
ACB,Aurora Cannabis,Pharmaceuticals,490180115
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,62658900
ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,18115608559
ACCD,Accolade,Health Care Technology,829233404
ACCO,ACCO Brands,Commercial Services & Supplies,698301417
ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,378375000
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1135325100
ACER,Acer Therapeutics,Pharmaceuticals,23712000
ACET,Adicet Bio,Health Care Providers & Services,738881286
ACEV,ACE Convergence Acquisition,Blank Check / SPAC,142592506
ACGL,Arch Capital Group,Insurance,16352768435
ACH,Aluminum Corporation of China,Metals & Mining,10029780477
ACHC,Acadia Healthcare Company,Health Care Providers & Services,7364479626
ACHL,Achilles Therapeutics,Biotechnology,123332275
ACHR,Archer Aviation,Aerospace & Defense,1064472703
ACHV,Achieve Life Sciences,Biotechnology,48506118
ACI,Albertsons Companies,Grocery Stores,14491616235
ACII,Atlas Crest Investment II,Blank Check / SPAC,424781279
ACIU,AC Immune,Biotechnology,285274183
ACIW,ACI Worldwide,Software,2969213618
ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,158400222
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2459380461
ACLX,Arcellx,Biotechnology,886240804
ACM,AECOM,Construction & Engineering,10012288045
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,1120518772
ACN,Accenture,IT Services,1.95899E+11
ACNB,ACNB Corporation,Banks,298736710
ACON,Aclarion,Health Information Services,8408134
ACOR,Acorda Therapeutics,Biotechnology,10764775
ACQR,Independence Holdings,Blank Check / SPAC,611517499
ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trust...,84971835
ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trust...,744989504
ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,419606230
ACRS,Aclaris Therapeutics,Pharmaceuticals,1190091612
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,34130910
ACST,Acasti Pharma,Pharmaceuticals,38491933
ACT,Enact Holdings,Insurance-Specialty,4211120238
ACTG,Acacia Research,Professional Services,229735630
ACU,Acme United,Commercial Services & Supplies,100246988
ACVA,ACV Auctions,Auto & Truck Dealerships,1244369575
ACXP,Acurx Pharmaceuticals,Biotechnology,43669911
ADAG,Adagene,Biotechnology,63501445
ADAL,Anthemis Digital Acquisitions I,Blank Check / SPAC,302176895
ADAP,Adaptimmune Therapeutics,Biotechnology,361047711
ADBE,Adobe,Software,2.03009E+11
ADC,Agree Realty,Equity Real Estate Investment Trusts ...,6194730364
ADCT,ADC Therapeutics,Communications Equipment,633302523
ADER,26 Capital Acquisition,Blank Check / SPAC,339281240
ADES,Advanced Emissions Solutions,Chemicals,91165258
ADEX,Adit EdTech Acquisition,Blank Check / SPAC,340169980
ADGI,Adagio Therapeutics,Biotechnology,424693788
ADI,Analog Devices,Semiconductors & Semiconductor Equipment,90680162980
ADIL,Adial Pharmaceuticals,Pharmaceuticals,15548889
ADM,Archer-Daniels-Midland Company,Food Products,46299615664
ADMA,ADMA Biologics,Biotechnology,405466880
ADMP,Adamis Pharmaceuticals,Pharmaceuticals,55943659
ADN,Advent Technologies Holdings,Utilities-Renewable,155352728
ADNT,Adient,Auto Components,3271467322
ADOC,Edoc Acquisition,Blank Check / SPAC,56360799
ADP,Automatic Data Processing,IT Services,1.0294E+11
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1670899641
ADRA,Adara Acquisition,Blank Check / SPAC,142887480
ADRT,Ault Disruptive Technologies,Blank Check / SPAC,144612500
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,351416858
ADSK,Autodesk,Software,47986690827
ADT,ADT Inc.,Commercial Services & Supplies,7423979953
ADTH,AdTheorent Holding Company,Advertising Agencies,280382880
ADTN,ADTRAN Holdings,Communications Equipment,1829315488
ADTX,Aditx,Biotechnology,9141355
ADUS,Addus HomeCare,Health Care Providers & Services,1500774305
ADV,Advantage Solutions,Advertising Agencies,1385079036
ADVM,Adverum Biotechnologies,Biotechnology,150624850
ADXN,Addex Therapeutics,Biotechnology,10921364
ADXS,Advaxis,Biotechnology,6462704
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",149861619
